FilePath,Predicted_ID,Predicted_Class,Confidence,Prob_g1,Prob_g10,Prob_g11,Prob_g12,Prob_g13,Prob_g14,Prob_g15,Prob_g2,Prob_g3,Prob_g4,Prob_g5,Prob_g6,Prob_g7,Prob_g8,Prob_g9
patient001\s0010_re_avf_features.npy,7,g2,0.7324232459068298,0.005603966768831015,0.0005904994904994965,0.009970610961318016,0.016902778297662735,0.05286777392029762,0.0009111881954595447,0.0018859272822737694,0.7324232459068298,0.004915983881801367,0.06053072586655617,0.001006492879241705,0.003365463111549616,0.0008791085565462708,0.10804684460163116,9.937678987625986e-05
patient001\s0010_re_avl_features.npy,9,g4,0.4426882266998291,0.05042087286710739,0.0011503880377858877,0.019967008382081985,0.04186908155679703,0.04022916778922081,0.007505208253860474,0.01633455604314804,0.07414030283689499,0.005069819279015064,0.4426882266998291,0.002729935571551323,0.02467227540910244,0.010785269550979137,0.26160335540771484,0.0008346132817678154
patient001\s0010_re_avr_features.npy,9,g4,0.8226078152656555,0.0313241109251976,9.413577117811656e-07,0.0005564670427702367,0.0015821278793737292,0.00025638146325945854,0.0005902302218601108,0.001180782332085073,3.325055877212435e-05,3.975213985540904e-06,0.8226078152656555,2.1962150640320033e-05,0.022946912795305252,0.0012386571615934372,0.11765000969171524,6.296054834820097e-06
patient001\s0010_re_iii_features.npy,7,g2,0.4821678698062897,0.01961173675954342,0.0022345141042023897,0.019714299589395523,0.035564202815294266,0.07258795201778412,0.0047572581097483635,0.009435446932911873,0.4821678698062897,0.009890729561448097,0.14284543693065643,0.0035663326270878315,0.013145903125405312,0.005037457682192326,0.17875580489635468,0.0006849520141258836
patient001\s0010_re_ii_features.npy,7,g2,0.8137266039848328,0.0020371684804558754,0.0001073668317985721,0.004040906671434641,0.008913842961192131,0.030319249257445335,0.00015541777247563004,0.0004365567583590746,0.8137266039848328,0.001755222212523222,0.04777223616838455,0.0001928263809531927,0.0009989439276978374,0.0001649215118959546,0.0893680602312088,1.0739955541794188e-05
patient001\s0010_re_i_features.npy,7,g2,0.5819294452667236,0.009374715387821198,0.0004991745227016509,0.011523669585585594,0.02804466523230076,0.046153511852025986,0.0007196756196208298,0.0024680867791175842,0.5819294452667236,0.006323498673737049,0.18348447978496552,0.0006538875168189406,0.0039538247510790825,0.0010091454023495317,0.1237807348370552,8.15518360468559e-05
patient001\s0010_re_v1_features.npy,9,g4,0.4767652750015259,0.06785910576581955,0.002089689252898097,0.021523695439100266,0.05092499032616615,0.025721028447151184,0.016279499977827072,0.034039195626974106,0.020028168335556984,0.006739606615155935,0.4767652750015259,0.005832015071064234,0.04574219137430191,0.027267972007393837,0.19579307734966278,0.003394473111256957
patient001\s0010_re_v2_features.npy,9,g4,0.452998548746109,0.0800999253988266,0.0008296474697999656,0.021040067076683044,0.02507844753563404,0.026698051020503044,0.019245397299528122,0.024766644462943077,0.015136146917939186,0.0031090695410966873,0.452998548746109,0.003251194953918457,0.03771067410707474,0.021950623020529747,0.26661261916160583,0.0014729714021086693
patient001\s0010_re_v3_features.npy,9,g4,0.4696558713912964,0.08297789096832275,0.0010905915405601263,0.02273031510412693,0.02983616665005684,0.028176771476864815,0.0186843890696764,0.028369342908263206,0.014761953614652157,0.003888981882482767,0.4696558713912964,0.003641229821369052,0.04005281254649162,0.02517527900636196,0.22932520508766174,0.0016331127844750881
patient001\s0010_re_v4_features.npy,9,g4,0.5929844379425049,0.08487018942832947,0.0004251254431437701,0.013848326168954372,0.022829178720712662,0.014328091405332088,0.011024408973753452,0.017311204224824905,0.005196570418775082,0.0014492319896817207,0.5929844379425049,0.0017727900994941592,0.04750863090157509,0.01641184464097023,0.16937613487243652,0.0006638830527663231
